BIRTHDATE;YEAR;AGE;SEX;SPORT_Y_N;SPORT_B;N_SPORTS;SPORT_TYPE;MINUTES;WEEK_DAYS;DAY_MOMENT
02/06/2000;2000;23;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);180;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday);Mañanas (Mornings)
22/08/2002;2002;21;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;2;Baloncesto (Basketball), Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Ninguno (None);Tardes (Afternoons)
18/06/2001;2001;22;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;2;Fútbol (Football), Tenis/Pádel (Tennis/padel), Ciclismo (Cycling), Gimnasio (Gym);65;Martes (Tuesday), Jueves (Thursday);Mañanas (Mornings), Tardes (Afternoons)
04/11/2000;2000;23;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Pilates;200;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
07/11/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Fitboxing;180;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Tardes (Afternoons)
09/08/2001;2001;22;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Tenis/Pádel (Tennis/padel), Gimnasio (Gym);340;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Mañanas (Mornings), Noches (Evenings)
21/06/2004;2004;19;Femenino (female);No;No;1;Gimnasio (Gym);0;Ninguno (None);Tardes (Afternoons)
09/07/1983;1983;40;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Mezcla de yoga y pilates y caminar ;120;Lunes (Monday), Viernes (Friday);Mañanas (Mornings)
29/07/2001;2001;22;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);365;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Tardes (Afternoons)
28/12/2001;2001;22;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);1080;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings)
26/09/2023;2023;0;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings)
20/02/2002;2002;21;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);180;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Mañanas (Mornings)
26/02/1997;1997;26;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Yoga;180;Lunes (Monday), Miércoles (Wednesday);Tardes (Afternoons)
14/06/2004;2004;19;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Fútbol (Football), Gimnasio (Gym);420;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
08/04/1968;1968;55;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
30/01/1969;1969;54;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Andar;240;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings)
02/11/2006;2006;17;Masculino (male);Sí, semanalmente (Yes, weekly);Si;3+;Fútbol (Football), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Voleibol ;180;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday);Tardes (Afternoons)
12/08/2006;2006;17;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
15/01/1961;1961;62;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));260;Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings)
19/01/1979;1979;44;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
17/08/2006;2006;17;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));60;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
11/01/2002;2002;21;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;1;Baloncesto (Basketball), Gimnasio (Gym);1350;Viernes (Friday);Tardes (Afternoons), Noches (Evenings)
27/11/2005;2005;18;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);120;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
03/09/1966;1966;57;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Pilates, yoga;120;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
24/10/2006;2006;17;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Gimnasio (Gym);0;Ninguno (None);Tardes (Afternoons)
26/09/1996;1996;27;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Gimnasio (Gym);8;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Viernes (Friday);Mañanas (Mornings)
07/08/2004;2004;19;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Natación (Swimming), ;5;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Mañanas (Mornings)
29/07/1966;1966;57;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Lunes (Monday), Jueves (Thursday), Domingo (Sunday), Ninguno (None);Mañanas (Mornings)
02/03/2006;2006;17;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;0;Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Ninguno (None);Tardes (Afternoons)
13/01/1990;1990;33;Masculino (male);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
27/05/1991;1991;32;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);240;Martes (Tuesday), Jueves (Thursday);Mañanas (Mornings)
15/10/2001;2001;22;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);150;Lunes (Monday), Jueves (Thursday);Tardes (Afternoons)
09/08/1964;1964;59;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Gimnasio (Gym), ;360;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings)
10/04/1958;1958;65;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Motos;240;Miércoles (Wednesday), Domingo (Sunday);Mañanas (Mornings)
19/09/1974;1974;49;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday);Tardes (Afternoons)
13/07/1964;1964;59;Femenino (female);No;No;1;Ninguno (None), ;0;Ninguno (None);Ninguno (None)
14/11/1985;1985;38;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Ninguno (None);0;Ninguno (None);Ninguno (None)
01/03/1966;1966;57;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Gimnasio (Gym), Yoga;240;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
22/06/1979;1979;44;Masculino (male);Sí, semanalmente (Yes, weekly);Si;3+;Fútbol (Football), Tenis/Pádel (Tennis/padel), Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Noches (Evenings)
21/10/1983;1983;40;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;1;Ninguno (None);0;Sábado (Saturday);Noches (Evenings)
26/03/2001;2001;22;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Gimnasio (Gym);60;Lunes (Monday), Miércoles (Wednesday);Noches (Evenings)
20/04/1961;1961;62;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);180;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Tardes (Afternoons)
23/09/1957;1957;66;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings)
02/03/1986;1986;37;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Ejercicios aeróbicos y anaerobicos;80;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Viernes (Friday);Tardes (Afternoons)
17/07/2001;2001;22;Femenino (female);No;No;1;Gimnasio (Gym);0;Ninguno (None);Tardes (Afternoons)
02/05/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);480;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
02/08/1962;1962;61;Femenino (female);Sí, diariamente (Yes, daily);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));420;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
03/12/1964;1964;59;Masculino (male);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
03/01/2001;2001;22;Masculino (male);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
06/09/1985;1985;38;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Patinaje;60;Viernes (Friday);Mañanas (Mornings), Tardes (Afternoons)
03/07/1992;1992;31;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);230;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings)
15/12/1991;1991;32;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Tenis/Pádel (Tennis/padel);180;Lunes (Monday), Martes (Tuesday);Tardes (Afternoons), Noches (Evenings)
18/04/1976;1976;47;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));420;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
29/08/1971;1971;52;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Aerobic;180;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
08/01/1962;1962;61;Femenino (female);No;No;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));0;Ninguno (None);Mañanas (Mornings)
22/05/1997;1997;26;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Gimnasio (Gym);180;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings)
18/07/1973;1973;50;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));200;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday);Tardes (Afternoons)
30/07/2022;2022;1;Masculino (male);Sí, diariamente (Yes, daily);Si;1;Muchísimo de sexo y hago esfuerzos ;240;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons), Noches (Evenings)
03/03/1968;1968;55;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));240;Lunes (Monday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
07/03/1960;1960;63;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;1;Yoga;120;Lunes (Monday), Jueves (Thursday);Tardes (Afternoons)
30/09/1995;1995;28;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym), Baile ;300;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Tardes (Afternoons)
01/01/2001;2001;22;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Gimnasio (Gym);150;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday);Mañanas (Mornings)
08/01/1989;1989;34;Femenino (female);No;No;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
02/04/2001;2001;22;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Baloncesto (Basketball), Tenis/Pádel (Tennis/padel), Natación (Swimming), Gimnasio (Gym);840;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Noches (Evenings)
01/05/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Escalada, Atletismo (correr, marcha etc) (Athletics (running, walking etc));150;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
06/10/2001;2001;22;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Gimnasio (Gym);300;Lunes (Monday), Miércoles (Wednesday);Mañanas (Mornings), Tardes (Afternoons)
24/12/1966;1966;57;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);240;Martes (Tuesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons), Noches (Evenings)
26/07/2002;2002;21;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;1;Gimnasio (Gym);400;Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
05/05/1994;1994;29;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Tenis/Pádel (Tennis/padel), Gimnasio (Gym);480;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Mañanas (Mornings), Tardes (Afternoons)
25/04/1968;1968;55;Masculino (male);No;No;2;Ciclismo (Cycling), pilates;0;Ninguno (None);Tardes (Afternoons)
01/01/1967;1967;56;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Yoga;180;Lunes (Monday), Miércoles (Wednesday);Tardes (Afternoons)
08/04/1962;1962;61;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);1200;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
06/01/1971;1971;52;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Yoga;120;Lunes (Monday), Miércoles (Wednesday);Tardes (Afternoons)
12/09/1984;1984;39;Masculino (male);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));4;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday);Noches (Evenings)
16/10/1962;1962;61;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc));250;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings), Noches (Evenings)
25/06/1977;1977;46;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
25/01/1965;1965;58;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);400;Lunes (Monday), Miércoles (Wednesday), Domingo (Sunday);Tardes (Afternoons)
13/12/1977;1977;46;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Natación (Swimming), Running;600;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
14/06/1989;1989;34;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym), Core;200;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday), Ninguno (None);Mañanas (Mornings), Tardes (Afternoons)
11/12/1984;1984;39;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);600;Lunes (Monday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Tardes (Afternoons)
31/12/1975;1975;48;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);360;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
28/04/1980;1980;43;Femenino (female);Sí, semanalmente (Yes, weekly);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Alpinismo ;600;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
14/05/1976;1976;47;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));180;Martes (Tuesday), Jueves (Thursday);Tardes (Afternoons)
01/06/1977;1977;46;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Yoga;240;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday);Tardes (Afternoons)
23/07/1960;1960;63;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Tenis/Pádel (Tennis/padel), Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym);400;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Domingo (Sunday);Tardes (Afternoons)
19/04/1976;1976;47;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);300;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Viernes (Friday);Mañanas (Mornings)
01/08/1976;1976;47;Masculino (male);Sí, esporádicamente (Yes, sporadically);Si;0;Ninguno (None);0;Ninguno (None);Ninguno (None)
19/06/1970;1970;53;Femenino (female);Sí, esporádicamente (Yes, sporadically);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Senderismo;360;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
05/05/1969;1969;54;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Gimnasio (Gym);180;Martes (Tuesday), Jueves (Thursday);Mañanas (Mornings)
21/09/1973;1973;50;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);480;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
07/12/1972;1972;51;Masculino (male);Sí, diariamente (Yes, daily);Si;3+;Ciclismo (Cycling), Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym), Artes marciales;120;Lunes (Monday), Miércoles (Wednesday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings)
24/04/1987;1987;36;Femenino (female);Sí, diariamente (Yes, daily);Si;3+;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming), Gimnasio (Gym), Montaña ;840;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Tardes (Afternoons)
03/02/1980;1980;43;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Natación (Swimming), Gimnasio (Gym);120;Martes (Tuesday), Jueves (Thursday);Noches (Evenings)
20/12/1983;1983;40;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);260;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
26/11/1962;1962;61;Masculino (male);Sí, diariamente (Yes, daily);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Gimnasio (Gym);480;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday), Domingo (Sunday);Mañanas (Mornings), Tardes (Afternoons)
31/12/1977;1977;46;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Senderismo;240;Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Mañanas (Mornings), Noches (Evenings)
25/09/1972;1972;51;Femenino (female);Sí, semanalmente (Yes, weekly);Si;1;Atletismo (correr, marcha etc) (Athletics (running, walking etc));200;Lunes (Monday), Martes (Tuesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
07/01/1970;1970;53;Masculino (male);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);180;Martes (Tuesday), Viernes (Friday), Sábado (Saturday);Mañanas (Mornings), Tardes (Afternoons)
16/08/1967;1967;56;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);480;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Viernes (Friday), Sábado (Saturday);Tardes (Afternoons), Noches (Evenings)
15/10/1978;1978;45;Femenino (female);Sí, semanalmente (Yes, weekly);Si;2;Atletismo (correr, marcha etc) (Athletics (running, walking etc)), Natación (Swimming);300;Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday), Domingo (Sunday);Tardes (Afternoons)
04/04/2023;2023;0;Femenino (female);Sí, diariamente (Yes, daily);Si;2;Gimnasio (Gym), ;240;Lunes (Monday), Martes (Tuesday), Miércoles (Wednesday), Jueves (Thursday);Tardes (Afternoons)
